imdbID,Rating10,WatchedDate
tt0110912,8,2022-10-15
tt0335266,7,2022-10-08
tt0993840,7,2022-09-17
tt3707104,5,2022-09-09
tt16759126,7,2022-09-06
tt4513678,5,2022-08-27
tt3402236,7,2022-08-13
tt7657566,4,2022-08-13
tt6865690,7,2022-08-13
tt8435892,6,2022-07-23
tt6320628,6,2022-06-19
tt10872600,9,2022-06-18
tt2361509,8,2022-06-11
tt1124035,5,2022-05-21
tt0427392,4,2022-05-14
tt4427076,7,2022-05-01
tt0470752,7,2022-04-16
tt3567288,8,2022-04-09
tt4501244,7,2022-04-02
tt0198781,10,2022-03-26
tt14817272,7,2022-03-07
tt6654210,3,2022-03-05
tt1951265,5,2022-02-22
tt10341034,9,2022-02-20
tt0313737,5,2022-02-14
tt0441773,8,2022-02-13
tt8718158,5,2022-02-13
tt1041829,5,2022-02-05
tt11616036,3,2022-01-29
tt0317740,6,2022-01-28
tt3631112,8,2022-01-22
tt7888964,10,2022-01-16
tt0427229,6,2022-01-15
tt6264654,7,2022-01-14
tt0448115,6,2022-01-10
tt6334354,7,2022-01-08
tt7126948,3,2022-01-08
tt7097896,3,2022-01-06
tt0373889,8,2022-01-04
tt0304141,8,2022-01-03
tt0330373,9,2022-01-03
tt0295297,9,2022-01-02
tt11286314,8,2022-01-02
tt16116174,8,2022-01-01
tt11738870,5,2021-12-29
tt0314331,9,2021-12-25
tt1291570,4,2021-12-18
tt13070602,5,2021-12-05
tt5989218,9,2021-11-27
tt7991608,6,2021-11-19
tt6433456,5,2021-11-16
tt3228774,5,2021-11-16
tt14091030,3,2021-11-16
tt13024674,5,2021-11-06
tt10933000,6,2021-11-03
tt4080728,7,2021-11-03
tt10919420,7,2021-10-16
tt0189998,7,2021-10-10
tt12028944,8,2021-10-02
tt1392170,7,2021-09-26
tt1160419,7,2021-09-26
tt9738784,9,2021-09-24
tt1219289,7,2021-09-17
tt12200256,6,2021-08-27
tt0358273,7,2021-08-14
tt1596350,6,2021-08-08
tt0241527,10,2021-08-01
tt7504726,8,2021-07-10
tt5884052,4,2021-06-06
tt7601480,7,2021-05-21
tt1478839,10,2021-05-15
tt8333746,3,2021-05-14
tt7146812,7,2021-05-05
tt9620292,8,2021-05-04
tt11083552,6,2021-04-25
tt2719848,9,2021-04-09
tt4276820,7,2021-04-03
tt8265928,7,2021-04-02
tt6270534,6,2021-03-28
tt6723592,7,2021-03-26
tt0824747,7,2021-03-19
tt0359950,8,2021-03-13
tt11547520,5,2021-03-05
tt0467200,7,2021-02-26
tt13666772,7,2021-02-20
tt0892318,6,2021-02-14
tt3488710,7,2021-02-14
tt3513548,8,2021-01-29
tt0408790,8,2021-01-15
tt4729430,9,2021-01-08
tt0119116,7,2020-12-27
tt13144490,6,2020-12-25
tt11455654,7,2020-12-19
tt11439556,7,2020-12-18
tt4912910,6,2020-12-17
tt1051906,7,2020-12-05
tt2381249,8,2020-12-03
tt3487382,8,2020-11-30
tt2704998,6,2020-11-27
tt9814116,5,2020-11-17
tt1229238,7,2020-10-30
tt0317919,7,2020-10-22
tt12058242,6,2020-10-20
tt4005402,8,2020-10-16
tt1924429,5,2020-10-02
tt1343727,7,2020-09-26
tt8880894,6,2020-09-25
tt3531824,6,2020-09-21
tt0120755,5,2020-09-19
tt0117060,9,2020-09-19
tt12516676,9,2020-09-15
tt1392214,9,2020-09-04
tt8129794,7,2020-09-02
tt1298644,4,2020-08-29
tt6499752,7,2020-08-29
tt1881109,1,2020-08-22
tt2191701,1,2020-08-19
tt1375670,8,2020-08-16
tt3799694,6,2020-08-11
tt2096673,8,2020-08-08
tt9059760,3,2020-08-05
tt5886046,6,2020-08-02
tt11394200,9,2020-07-12
tt1564367,6,2020-07-04
tt0102685,7,2020-06-25
tt0780504,4,2020-06-25
tt8655574,5,2020-06-24
tt5093026,7,2020-06-09
tt1100089,6,2020-06-09
tt6105098,6,2020-06-06
tt1536537,5,2020-05-29
tt8688634,6,2020-05-22
tt4857264,9,2020-05-15
tt1596363,6,2020-05-08
tt6742252,8,2020-05-01
tt5716464,7,2020-04-24
tt8946378,10,2020-04-17
tt14333000,8,2020-04-14
tt1560220,8,2020-04-10
tt8367814,10,2020-04-05
tt8228288,9,2020-03-29
tt7131622,5,2020-03-20
tt6324614,4,2020-02-22
tt4951982,6,2020-02-08
tt8579674,10,2020-02-05
tt7335184,6,2020-02-01
tt7139936,9,2020-01-05
tt1950235,5,2020-01-02
tt7909970,10,2019-12-28
tt7349950,3,2019-12-22
tt7349662,6,2019-12-07
tt9450542,2,2019-12-02
tt3606756,8,2019-11-16
tt1276104,6,2019-11-03
tt2692904,7,2019-10-20
tt7752126,4,2019-10-19
tt0181689,9,2019-10-13
tt3532216,6,2019-10-05
tt7286456,5,2019-10-04
tt6139732,5,2019-09-21
tt5966602,7,2019-09-16
tt3864056,10,2019-09-13
tt6644200,4,2019-08-25
tt6966692,9,2019-08-24
tt0112442,6,2019-08-23
tt4463894,5,2019-08-23
tt0437086,7,2019-08-11
tt6823368,9,2019-08-09
tt5304992,5,2019-08-03
tt8613876,5,2019-07-23
tt9419834,4,2019-07-21
tt6751668,10,2019-07-16
tt2884206,10,2019-07-12
tt7366338,10,2019-07-09
tt8201170,6,2019-07-06
tt1618434,5,2019-07-06
tt4123430,5,2019-05-31
tt10400024,9,2019-05-30
tt0234215,8,2019-05-26
tt0133093,9,2019-05-06
tt7342838,10,2019-05-04
tt2115354,7,2019-05-02
tt10147546,9,2019-04-18
tt1270797,5,2019-04-13
tt4003440,7,2019-04-07
tt5613484,10,2019-03-17
tt9624470,3,2019-03-13
tt4630562,7,2019-03-10
tt1727824,7,2019-03-04
tt2053463,9,2019-02-24
tt1213641,5,2019-02-09
tt0365907,3,2019-02-08
tt0113101,7,2019-01-31
tt9495224,8,2019-01-31
tt6628394,10,2019-01-27
tt1517451,5,2019-01-26
tt6960712,8,2019-01-18
tt13338880,7,2019-01-18
tt8287236,4,2019-01-18
tt7896692,2,2019-01-18
tt7507644,6,2019-01-18
tt3949660,5,2019-01-12
tt4034354,4,2019-01-11
tt6673840,4,2019-01-10
tt7632930,6,2019-01-09
tt7394636,3,2019-01-09
tt8462858,2,2019-01-06
tt1931533,6,2019-01-05
tt5657846,7,2019-01-04
tt1528854,7,2018-12-31
tt5027774,8,2018-12-09
tt6823698,4,2018-12-08
tt7668870,7,2018-11-23
tt7863198,4,2018-11-18
tt1837492,8,2018-10-28
tt6270596,2,2018-10-21
tt5726616,5,2018-10-20
tt1645170,2,2018-10-12
tt4925292,10,2018-10-01
tt6952604,5,2018-09-16
tt5837242,9,2018-09-01
tt5463162,9,2018-08-26
tt5220122,5,2018-07-26
tt2802154,8,2018-07-15
tt2406566,3,2018-06-22
tt1485796,3,2018-06-18
tt1677720,10,2018-06-11
tt3183660,8,2018-06-01
tt0974015,9,2018-04-30
tt7964748,8,2018-03-24
tt9340622,6,2018-03-23
tt5580390,8,2018-03-10
tt1396484,6,2018-03-08
tt5844488,2,2018-02-24
tt4034228,8,2018-02-23
tt0067517,9,2018-02-23
tt5580036,10,2018-02-18
tt1959563,4,2018-02-10
tt5987402,10,2018-02-03
tt4649466,10,2018-01-21
tt3890160,10,2018-01-10
tt5157456,5,2018-01-08
tt1682187,4,2018-01-08
tt5013056,5,2018-01-06
tt3896198,7,2017-12-30
tt6841500,3,2017-12-02
tt2250912,7,2017-11-27
tt0489270,5,2017-11-26
tt5653294,5,2017-11-20
tt0432348,7,2017-11-07
tt4731148,4,2017-11-04
tt2911666,4,2017-10-26
tt6070530,4,2017-10-19
tt3892434,10,2017-09-10
tt0387564,9,2017-08-12
tt0080439,10,2017-08-11
tt0356634,7,2017-08-09
tt1403865,5,2017-08-09
tt0457433,9,2017-08-09
tt2333804,5,2017-08-06
tt5526660,1,2017-08-05
tt2182001,3,2017-08-05
tt2281159,4,2017-08-02
tt1038919,4,2017-08-02
tt0252076,5,2017-08-02
tt0404390,8,2017-08-02
tt0120815,10,2017-07-29
tt1101026,5,2017-07-22
tt0945513,8,2017-07-21
tt2866360,10,2017-07-09
tt5442430,9,2017-06-11
tt0451279,7,2017-06-10
tt2316204,9,2017-05-30
tt3062096,6,2017-05-28
tt0933361,5,2017-05-06
tt1465522,7,2017-05-04
tt2094766,2,2017-04-22
tt4084744,8,2017-04-12
tt1430132,6,2017-03-25
tt3315342,10,2017-03-09
tt5161058,5,2017-02-26
tt2543164,7,2017-02-23
tt4550098,10,2017-02-23
tt3783958,9,2017-01-29
tt1475582,8,2017-01-16
tt2005151,7,2017-01-07
tt3072482,9,2017-01-05
tt1355644,6,2017-01-04
tt3460252,9,2017-01-03
tt3110958,6,2016-12-24
tt3385516,10,2016-12-10
tt1386697,5,2016-12-03
tt3393786,4,2016-11-13
tt5282006,8,2016-10-04
tt1700841,9,2016-09-16
tt3079380,6,2016-09-11
tt0425112,6,2016-07-05
tt2567026,5,2016-06-28
tt1179933,6,2016-06-19
tt0120735,10,2016-06-19
tt1340138,8,2016-06-04
tt0803096,9,2016-05-26
tt2316411,10,2016-05-03
tt2975590,10,2016-04-07
tt4629032,8,2016-04-01
tt1392190,8,2016-03-26
tt2948356,9,2016-03-17
tt3107288,5,2016-03-03
tt1976009,6,2016-02-23
tt3064298,10,2016-02-16
tt1431045,10,2016-02-14
tt0478970,8,2016-01-20
tt1502712,3,2016-01-10
tt3659388,10,2016-01-07
tt1638355,7,2016-01-01
tt2140379,4,2015-12-19
tt2872718,8,2015-12-11
tt3042408,10,2015-11-28
tt2379713,7,2015-11-13
tt1790864,9,2015-11-05
tt0450385,5,2015-11-01
tt0338013,10,2015-10-20
tt2911668,8,2015-09-17
tt2802144,9,2015-08-30
tt4528786,8,2015-08-24
tt4553720,8,2015-08-21
tt1617661,2,2015-08-17
tt0813541,6,2015-07-24
tt0878804,9,2015-07-22
tt1711425,2,2015-07-16
tt2364841,5,2015-07-11
tt2381941,9,2015-07-04
tt0065670,10,2015-06-10
tt3472226,8,2015-06-07
tt1291150,8,2015-05-31
tt0080684,7,2015-05-07
tt0076759,8,2015-05-05
tt2752200,8,2015-04-27
tt2084970,7,2015-02-23
tt2015381,8,2015-02-04
tt2562232,9,2015-02-03
tt1877832,8,2015-01-12
tt2267998,6,2015-01-10
tt1959490,4,2015-01-08
tt1187043,8,2015-01-07
tt1863347,3,2015-01-05
tt0485755,8,2015-01-05
tt2799166,6,2014-12-13
tt1211956,5,2014-11-09
tt0831387,4,2014-11-02
tt2294449,8,2014-10-25
tt2024544,8,2014-10-04
tt1981115,3,2014-09-28
tt3063516,9,2014-09-07
tt1872181,7,2014-09-03
tt1907668,8,2014-08-26
tt0465494,2,2014-08-24
tt0386588,7,2014-08-21
tt0480249,9,2014-08-20
tt0825232,6,2014-08-19
tt2870708,5,2014-08-15
tt1193138,7,2014-08-11
tt1377575,9,2014-08-02
tt3805180,9,2014-08-02
tt3711466,6,2014-08-01
tt1438463,8,2014-07-29
tt0209144,10,2014-07-11
tt1800241,5,2014-07-05
tt2278388,9,2014-07-04
tt1631867,6,2014-06-19
tt2229499,6,2014-06-17
tt1483013,10,2014-06-13
tt1204975,4,2014-06-09
tt1595366,7,2014-05-10
tt1663662,3,2014-04-03
tt1928340,3,2014-04-01
tt3043542,6,2014-03-24
tt0884328,7,2014-03-17
tt1454468,5,2014-03-09
tt1234721,5,2014-02-24
tt1853728,8,2014-02-15
tt0993846,6,2014-02-12
tt1549920,5,2014-02-08
tt0374298,6,2014-02-05
tt2334879,5,2014-02-02
tt0790736,4,2014-01-23
tt3121434,8,2014-01-23
tt2194499,10,2014-01-06
tt1980209,9,2014-01-02
tt1951261,5,2014-01-01
tt1815862,6,2014-01-01
tt0770828,5,2013-12-15
tt3338310,4,2013-12-14
tt3155604,8,2013-11-26
tt0401383,8,2013-11-23
tt1343092,10,2013-11-04
tt0986272,8,2013-10-11
tt1333125,5,2013-09-30
tt2357129,5,2013-09-29
tt1723121,8,2013-09-17
tt2194625,7,2013-08-20
tt1700258,7,2013-08-11
tt1217613,7,2013-08-07
tt0970416,3,2013-07-31
tt1045658,6,2013-07-12
tt0790724,8,2013-07-11
tt2649128,7,2013-07-10
tt1817273,9,2013-07-06
tt1547234,5,2013-07-02
tt1670345,9,2013-07-01
tt1706593,8,2013-06-25
tt1623205,5,2013-06-21
tt2987342,7,2013-06-21
tt0211933,9,2013-05-04
tt0773262,9,2013-05-04
tt1300854,6,2013-05-03
tt0385002,10,2013-05-03
tt1659337,9,2013-03-24
tt0877057,6,2013-03-06
tt0814314,10,2013-02-22
tt0163651,7,2013-02-10
tt0480255,7,2013-02-09
tt0259711,9,2013-02-07
tt1588173,9,2013-02-07
tt2930610,7,2013-02-05
tt1722450,7,2013-01-28
tt1232829,7,2013-01-26
tt0435670,3,2013-01-08
tt0780536,10,2013-01-06
tt0829482,6,2013-01-06
tt0277027,8,2013-01-05
tt1345836,10,2013-01-04
tt0405743,9,2013-01-03
tt1440129,4,2013-01-01
tt1082601,3,2012-12-30
tt0290002,6,2012-12-27
tt1232200,3,2012-12-23
tt1386703,5,2012-12-16
tt0268978,10,2012-12-14
tt0493464,7,2012-12-13
tt1488555,6,2012-12-02
tt0264464,9,2012-12-02
tt1639405,6,2012-11-24
tt2262308,7,2012-11-23
tt0813715,8,2012-11-23
tt1231583,7,2012-11-23
tt1023111,8,2012-11-21
tt1022603,9,2012-11-15
tt1074213,6,2012-11-13
tt1131729,7,2012-11-11
tt1570728,8,2012-11-09
tt1371111,10,2012-11-05
tt1446714,8,2012-11-04
tt2085059,9,2012-11-04
tt1409024,9,2012-10-30
tt1074638,7,2012-10-28
tt0948470,8,2012-10-24
tt1060277,8,2012-09-06
tt1637725,7,2012-08-08
tt1797504,6,2012-08-08
tt0356150,9,2012-07-10
tt1135985,7,2012-07-10
tt1648216,9,2012-07-07
tt0417741,8,2012-07-06
tt1515091,6,2012-07-06
tt1636826,9,2012-07-03
tt1675434,10,2012-06-26
tt1396218,7,2012-05-15
tt0180093,8,2012-05-08
tt0848228,9,2012-05-08
tt1045772,9,2012-05-05
tt2141789,8,2012-05-03
tt0972558,5,2012-04-11
tt1340800,8,2012-04-11
tt2094767,4,2012-04-07
tt1568346,10,2012-03-31
tt0337978,8,2012-02-13
tt0472399,7,2012-02-10
tt1278449,8,2012-02-05
tt1600195,6,2012-01-30
tt1424381,7,2012-01-30
tt0253474,10,2012-01-30
tt2124096,10,2012-01-28
tt0443649,6,2012-01-27
tt0433035,8,2012-01-25
tt1634122,9,2012-01-24
tt0942385,10,2012-01-20
tt0295721,7,2012-01-18
tt0183869,6,2012-01-15
tt0152930,8,2012-01-14
tt1622979,7,2012-01-09
tt1013743,9,2012-01-07
tt1666186,4,2012-01-05
tt1210166,10,2012-01-05
tt0397306,4,2012-01-04
tt0121955,8,2012-01-04
tt0409847,5,2012-01-03
tt0822847,7,2012-01-02
tt0415481,9,2012-01-01
tt1650062,4,2011-12-25
tt1201607,10,2011-12-23
tt1284575,7,2011-12-18
tt1285016,10,2011-12-18
tt1486185,6,2011-12-18
tt1637688,7,2011-12-18
tt0808151,9,2011-12-17
tt0988045,9,2011-12-17
tt0382625,8,2011-12-17
tt0458339,5,2011-12-15
tt1099212,5,2011-12-11
tt0284492,8,2011-12-11
tt0360717,9,2011-12-11
tt1318514,8,2011-12-11
tt1647423,8,2011-12-10
tt0367594,6,2011-12-10
tt0383574,9,2011-12-10
tt0449088,10,2011-12-10
tt0361748,7,2011-12-10
tt1411697,10,2011-12-10
tt0448694,8,2011-12-10
tt1596343,6,2011-10-08
tt1133985,5,2011-10-02
tt0398913,8,2011-09-25
tt0800369,6,2011-09-12
tt1205489,10,2011-07-27
tt0808339,7,2011-07-26
tt0448157,8,2011-07-26
tt1542344,10,2011-07-24
tt1010048,9,2011-07-22
tt1131734,5,2011-07-21
tt0211915,10,2011-07-21
tt0830515,9,2011-07-19
tt0381061,9,2011-07-19
tt1427175,9,2011-07-19
tt1197624,9,2011-07-19
tt0120382,10,2011-07-19
tt1504320,10,2011-07-19
tt1227189,4,2011-07-17
tt1585899,9,2011-07-17
tt0434409,9,2011-07-16
tt0800080,7,2011-07-15
tt0266489,8,2011-07-15
tt0317219,9,2011-07-15
tt0435761,8,2011-07-15
tt0120338,9,2011-07-15
tt0421715,9,2011-07-15
tt1116184,6,2011-07-15
tt0489099,9,2011-07-15
tt0279600,9,2011-07-15
tt0411008,8,2011-07-15
tt0383126,9,2011-07-15
tt4545498,9,2011-07-15
tt0420982,7,2011-07-15
tt0381936,9,2011-07-15
tt0259324,7,2011-07-14
tt0985694,8,2011-07-14
tt0109686,10,2011-07-14
tt1323594,5,2011-07-14
tt0338526,7,2011-07-13
tt1038686,5,2011-07-13
tt1092026,9,2011-07-12
tt0454848,9,2011-07-11
tt1462758,10,2011-07-11
tt1239426,9,2011-07-09
tt0195714,10,2011-07-09
tt0309593,9,2011-07-09
tt0414982,6,2011-07-09
tt1144884,6,2011-07-09
tt1270798,8,2011-07-08
tt0110413,10,2011-07-08
tt0910970,10,2011-07-08
tt0402874,7,2011-07-08
tt0238883,10,2011-07-08
tt0118767,10,2011-07-08
tt0120586,10,2011-07-08
tt0137523,10,2011-07-08
tt0109830,10,2011-07-08
tt0120689,10,2011-07-08
tt1320253,8,2011-07-08
tt4643442,8,2011-07-03
tt1202543,7,2011-07-03
tt6085558,8,2011-07-03
tt5188404,4,2011-07-03
tt0470013,10,2011-07-03
tt1838432,10,2011-07-03
tt0800320,8,2011-07-03
tt0401792,10,2011-07-03
tt1046173,6,2011-06-29
tt0371746,8,2011-06-29
tt0438488,7,2011-06-28
tt1055369,6,2011-06-28
tt1228705,8,2011-06-28
tt0468569,9,2011-06-28
tt0458525,9,2011-06-28
tt0418279,9,2011-06-28
tt0985699,10,2011-06-27
tt0443543,10,2011-06-18
tt1075747,3,2011-06-16
tt1375666,10,2011-06-10
tt0435705,9,2011-06-09
tt0119472,10,2011-06-06
tt1343755,8,2011-06-06
tt1782568,8,2011-06-06
tt1073498,5,2011-06-06
tt1477014,3,2011-06-06
tt1364289,5,2011-06-06
tt1179067,3,2011-06-06
tt0426592,5,2011-06-06
tt1213644,2,2011-06-06
tt1320261,5,2011-06-05
tt1190080,4,2011-06-05
tt0448011,8,2011-06-05
tt0465580,7,2011-06-05
tt1298650,10,2011-06-03
tt0473075,7,2011-06-02
tt1464540,7,2011-06-01
tt1334035,4,2011-05-31
tt1136608,9,2011-05-27
tt1569465,5,2011-05-27
tt1796603,5,2011-05-27
tt1104001,6,2011-05-27
tt0822832,8,2011-05-27
tt1247640,6,2011-05-10
tt0990407,7,2011-05-08
tt0418763,6,2011-04-29
tt0926084,9,2011-04-15
tt1014759,8,2011-03-23
tt0938283,5,2011-03-23
tt0183649,8,2011-03-18
tt0446029,5,2011-02-16
tt0409459,8,2011-02-16
tt1250777,10,2011-02-16
tt1620464,9,2011-02-16
tt0889583,4,2011-02-14
tt1564585,9,2011-01-30
tt1053424,7,2011-01-29
tt1307065,9,2011-01-29
tt0120660,7,2011-01-29
tt0963966,3,2011-01-29
tt0799949,1,2011-01-23
tt0960790,10,2011-01-16
tt1520211,10,2010-12-14
tt0944835,5,2010-11-09
tt0414993,9,2010-11-09
tt0366627,10,2010-11-09
tt0814255,3,2010-08-10
tt1590125,4,2010-08-07
tt1192431,8,2010-08-07
tt1620549,2,2010-08-07
tt1532382,5,2010-08-07
tt0429493,10,2010-08-07
tt1068680,10,2010-08-07
tt0796366,9,2010-04-03
tt1119646,10,2010-04-02
tt1179904,9,2010-04-02
tt0443453,9,2010-04-02
tt1028532,10,2010-04-02
tt1156398,10,2010-04-02
tt0499549,9,2010-04-02