kinopoisk_id,url,name,full_name_rus,vote_date,vote
342,https://www.kinopoisk.ru/film/342/,Pulp Fiction,Криминальное чтиво (1994),15.10.2022,8
5930,https://www.kinopoisk.ru/film/5930/,Lost in Translation,Трудности перевода (2003),08.10.2022,7
428683,https://www.kinopoisk.ru/film/428683/,Army of the Dead,Армия мертвецов (2021),17.09.2022,7
857533,https://www.kinopoisk.ru/film/857533/,Mine,Мина (2016),09.09.2022,5
1301880,https://www.kinopoisk.ru/film/1301880/, ,Семейный бюджет (2021),06.09.2022,7
897725,https://www.kinopoisk.ru/film/897725/,Ghostbusters: Afterlife,Охотники за привидениями: Наследники (2021),27.08.2022,5
817969,https://www.kinopoisk.ru/film/817969/,Murder on the Orient Express,Убийство в Восточном экспрессе (2017),13.08.2022,7
1103803,https://www.kinopoisk.ru/film/1103803/,Death on the Nile,Смерть на Ниле (2020),13.08.2022,4
1047881,https://www.kinopoisk.ru/film/1047881/,The Professor,Во всё тяжкое (2018),13.08.2022,7
1108682,https://www.kinopoisk.ru/series/1108682/, ,"Эпидемия (сериал, 2018 – ...)",31.07.2022,7
1150547,https://www.kinopoisk.ru/film/1150547/,Gut gegen Nordwind,Любовь между строк (2019),23.07.2022,6
1008445,https://www.kinopoisk.ru/film/1008445/,Spider-Man: Far from Home,Человек-паук: Вдали от дома (2019),19.06.2022,6
1309570,https://www.kinopoisk.ru/film/1309570/,Spider-Man: No Way Home,Человек-паук: Нет пути домой (2021),18.06.2022,9
677893,https://www.kinopoisk.ru/film/677893/,The Intern,Стажёр (2015),11.06.2022,8
462482,https://www.kinopoisk.ru/film/462482/,The Ides of March,Мартовские иды (2011),21.05.2022,5
161094,https://www.kinopoisk.ru/film/161094/,The Invasion,Вторжение (2007),14.05.2022,4
781432,https://www.kinopoisk.ru/film/781432/, ,14+ (2015),01.05.2022,7
1355139,https://www.kinopoisk.ru/film/1355139/,Dog,Лулу и Бриггс (2021),25.04.2022,8
197532,https://www.kinopoisk.ru/film/197532/,Ex Machina,Из машины (2014),16.04.2022,7
1326397,https://www.kinopoisk.ru/film/1326397/, ,Батя (2020),15.04.2022,7
838043,https://www.kinopoisk.ru/film/838043/,The Visit,Визит (2015),09.04.2022,8
930000,https://www.kinopoisk.ru/film/930000/,Why Him?,Почему он? (2016),02.04.2022,7
458,https://www.kinopoisk.ru/film/458/,"Monsters, Inc.",Корпорация монстров (2001),26.03.2022,10
4542882,https://www.kinopoisk.ru/film/4542882/,The Weekend Away,Поездка на выходные (2022),07.03.2022,7
1238476,https://www.kinopoisk.ru/film/1238476/,Infinite,Бесконечность (2021),05.03.2022,3
661911,https://www.kinopoisk.ru/film/661911/,The Hunger Games: Mockingjay - Part 1,Голодные игры: Сойка-пересмешница. Часть I (2014),22.02.2022,5
1368311,https://www.kinopoisk.ru/film/1368311/,Boîte noire,Черный ящик (2020),20.02.2022,9
317,https://www.kinopoisk.ru/film/317/,Two Weeks Notice,Любовь с уведомлением (2002),14.02.2022,5
103734,https://www.kinopoisk.ru/film/103734/,Kung Fu Panda,Кунг-фу Панда (2008),13.02.2022,8
1282222,https://www.kinopoisk.ru/film/1282222/,The Hating Game,Мой любимый враг (2021),13.02.2022,5
321842,https://www.kinopoisk.ru/film/321842/,The Proposal,Предложение (2009),05.02.2022,5
1252962,https://www.kinopoisk.ru/film/1252962/, ,"Гудбай, Америка (2020)",29.01.2022,3
318,https://www.kinopoisk.ru/film/318/,The Italian Job,Ограбление по-итальянски (2003),28.01.2022,6
928391,https://www.kinopoisk.ru/film/928391/,The Girl on the Train,Девушка в поезде (2016),22.01.2022,8
1309596,https://www.kinopoisk.ru/film/1309596/,Nobody,Никто (2021),16.01.2022,10
86646,https://www.kinopoisk.ru/film/86646/,Failure to Launch,Любовь и прочие неприятности (2006),15.01.2022,6
1199100,https://www.kinopoisk.ru/film/1199100/,Free Guy,Главный герой (2021),14.01.2022,7
840372,https://www.kinopoisk.ru/film/840372/,Shazam!,Шазам! (2019),10.01.2022,6
1008477,https://www.kinopoisk.ru/film/1008477/,The Suicide Squad,Отряд самоубийц: Миссия навылет (2021),08.01.2022,7
1046969,https://www.kinopoisk.ru/film/1046969/,Wonder Woman 1984,Чудо-женщина: 1984 (2020),08.01.2022,3
1227967,https://www.kinopoisk.ru/film/1227967/,Venom: Let There Be Carnage,Веном 2 (2021),06.01.2022,3
48356,https://www.kinopoisk.ru/film/48356/,Harry Potter and the Order of the Phoenix,Гарри Поттер и Орден Феникса (2007),04.01.2022,8
322,https://www.kinopoisk.ru/film/322/,Harry Potter and the Prisoner of Azkaban,Гарри Поттер и узник Азкабана (2004),03.01.2022,8
8408,https://www.kinopoisk.ru/film/8408/,Harry Potter and the Goblet of Fire,Гарри Поттер и Кубок огня (2005),03.01.2022,9
688,https://www.kinopoisk.ru/film/688/,Harry Potter and the Chamber of Secrets,Гарри Поттер и Тайная комната (2002),02.01.2022,9
1338480,https://www.kinopoisk.ru/film/1338480/,Don't Look Up,Не смотрите наверх (2021),02.01.2022,8
4716622,https://www.kinopoisk.ru/film/4716622/,Harry Potter 20th Anniversary: Return to Hogwarts,Гарри Поттер 20 лет спустя: Возвращение в Хогвартс (2022),01.01.2022,8
1346996,https://www.kinopoisk.ru/film/1346996/,Christmas on Ice,Рождество на льду (2020),29.12.2021,5
6144,https://www.kinopoisk.ru/film/6144/,Love Actually,Реальная любовь (2003),25.12.2021,9
463070,https://www.kinopoisk.ru/film/463070/,Solace,Экстрасенсы (2014),18.12.2021,4
1423831,https://www.kinopoisk.ru/film/1423831/,A Castle for Christmas,Замок к Рождеству (2021),05.12.2021,5
1007921,https://www.kinopoisk.ru/film/1007921/,Life Itself,Сама жизнь (2018),27.11.2021,9
1115099,https://www.kinopoisk.ru/film/1115099/,Red Notice,Красное уведомление (2021),19.11.2021,6
1036188,https://www.kinopoisk.ru/film/1036188/,Unga Astrid,Быть Астрид Линдгрен (2018),16.11.2021,5
804662,https://www.kinopoisk.ru/film/804662/,Cruella,Круэлла (2021),16.11.2021,5
965936,https://www.kinopoisk.ru/film/965936/,Godzilla vs. Kong,Годзилла против Конга (2021),16.11.2021,3
1403664,https://www.kinopoisk.ru/film/1403664/,Army of Thieves,Армия воров (2021),06.11.2021,5
1179555,https://www.kinopoisk.ru/film/1179555/,Run,Взаперти (2020),03.11.2021,6
848894,https://www.kinopoisk.ru/film/848894/,En man som heter Ove,Вторая жизнь Уве (2015),03.11.2021,7
1301710,https://www.kinopoisk.ru/series/1301710/,Ojingeo geim,"Игра в кальмара (сериал, 2021 – ...)",16.10.2021,7
825,https://www.kinopoisk.ru/film/825/,Shadow of the Vampire,Тень вампира (2000),10.10.2021,7
1254059,https://www.kinopoisk.ru/film/1254059/, ,Доктор Лиза (2020),02.10.2021,8
468581,https://www.kinopoisk.ru/film/468581/,The Hunger Games,Голодные игры (2012),26.09.2021,7
409424,https://www.kinopoisk.ru/film/409424/,Dune: Part One,Дюна (2021),26.09.2021,7
1209777,https://www.kinopoisk.ru/film/1209777/,Persian Lessons,Уроки фарси (2020),24.09.2021,9
462606,https://www.kinopoisk.ru/film/462606/,Limitless,Области тьмы (2011),17.09.2021,7
1183599,https://www.kinopoisk.ru/film/1183599/, ,Огонь (2020),27.08.2021,6
21540,https://www.kinopoisk.ru/film/21540/,Walk the Line,Переступить черту (2005),14.08.2021,7
497233,https://www.kinopoisk.ru/film/497233/,This Means War,"Значит, война (2012)",08.08.2021,6
689,https://www.kinopoisk.ru/film/689/,Harry Potter and the Sorcerer's Stone,Гарри Поттер и философский камень (2001),01.08.2021,10
1060511,https://www.kinopoisk.ru/film/1060511/,The Call of the Wild,Зов предков (2020),10.07.2021,8
994864,https://www.kinopoisk.ru/film/994864/,Pokémon: Detective Pikachu,Покемон. Детектив Пикачу (2019),06.06.2021,4
1109271,https://www.kinopoisk.ru/film/1109271/, ,Майор Гром: Чумной Доктор (2021),21.05.2021,7
470191,https://www.kinopoisk.ru/film/470191/,The Art of Racing in the Rain,Невероятный мир глазами Энцо (2019),15.05.2021,10
1146252,https://www.kinopoisk.ru/film/1146252/,Pinocchio,Пиноккио (2019),14.05.2021,3
1080513,https://www.kinopoisk.ru/film/1080513/,Onward,Вперёд (2019),05.05.2021,7
1236567,https://www.kinopoisk.ru/film/1236567/,Promising Young Woman,"Девушка, подающая надежды (2020)",04.05.2021,8
1318972,https://www.kinopoisk.ru/film/1318972/,Wrath of Man,Гнев человеческий (2021),25.04.2021,6
463418,https://www.kinopoisk.ru/film/463418/,The Oranges,Любовный переплет (2012),23.04.2021,5
464573,https://www.kinopoisk.ru/film/464573/,Seeking a Friend for the End of the World,Ищу друга на конец света (2011),16.04.2021,3
739642,https://www.kinopoisk.ru/film/739642/,Everest,Эверест (2015),09.04.2021,9
893245,https://www.kinopoisk.ru/film/893245/,The Founder,Основатель (2016),03.04.2021,7
1117379,https://www.kinopoisk.ru/film/1117379/,Mon inconnue,Поменяться местами (2019),02.04.2021,7
1021046,https://www.kinopoisk.ru/film/1021046/,Les traducteurs,Переводчики (2019),28.03.2021,6
1236063,https://www.kinopoisk.ru/film/1236063/,Tenet,Довод (2020),26.03.2021,7
279880,https://www.kinopoisk.ru/film/279880/,Changeling,Подмена (2008),19.03.2021,7
6034,https://www.kinopoisk.ru/film/6034/,The Secret Life of Walter Mitty,Невероятная жизнь Уолтера Митти (2013),13.03.2021,8
1188248,https://www.kinopoisk.ru/film/1188248/, ,Калашников (2020),05.03.2021,5
195435,https://www.kinopoisk.ru/film/195435/,The Other Boleyn Girl,Еще одна из рода Болейн (2008),26.02.2021,7
1189859,https://www.kinopoisk.ru/film/1189859/, ,Неадекватные люди 2 (2020),20.02.2021,7
461799,https://www.kinopoisk.ru/film/461799/,Letters to Juliet,Письма к Джульетте (2010),14.02.2021,6
829368,https://www.kinopoisk.ru/film/829368/,The Walk,Прогулка (2015),14.02.2021,7
826373,https://www.kinopoisk.ru/film/826373/,Richard Jewell,Дело Ричарда Джуэлла (2019),29.01.2021,8
81873,https://www.kinopoisk.ru/film/81873/,Flightplan,Иллюзия полета (2005),15.01.2021,8
957887,https://www.kinopoisk.ru/film/957887/,Klaus,Клаус (2019),08.01.2021,9
2656,https://www.kinopoisk.ru/film/2656/,The Fifth Element,Пятый элемент (1997),27.12.2020,7
1395366,https://www.kinopoisk.ru/series/1395366/, ,"Игра на выживание (сериал, 2020 – ...)",25.12.2020,6
1108690,https://www.kinopoisk.ru/series/1108690/, ,"Перевал Дятлова (сериал, 2020)",19.12.2020,7
1199625,https://www.kinopoisk.ru/film/1199625/, ,Глубже! (2020),18.12.2020,7
926540,https://www.kinopoisk.ru/film/926540/,Mission: Impossible - Fallout,Миссия невыполнима: Последствия (2018),17.12.2020,6
420454,https://www.kinopoisk.ru/film/420454/,The Invisible Man,Человек-невидимка (2020),05.12.2020,7
678549,https://www.kinopoisk.ru/film/678549/,Mission: Impossible - Rogue Nation,Миссия невыполнима: Племя изгоев (2015),03.12.2020,8
823594,https://www.kinopoisk.ru/series/823594/,Forever,"Вечность (сериал, 2014 – 2015)",30.11.2020,8
737859,https://www.kinopoisk.ru/film/737859/,Game Night,Ночные игры (2018),27.11.2020,6
1263485,https://www.kinopoisk.ru/series/1263485/,Brave New World,"Дивный новый мир (сериал, 2020)",17.11.2020,5
472362,https://www.kinopoisk.ru/film/472362/,Mission: Impossible - Ghost Protocol,Миссия невыполнима: Протокол Фантом (2011),30.10.2020,7
9552,https://www.kinopoisk.ru/film/9552/,Mission: Impossible III,Миссия: невыполнима 3 (2006),22.10.2020,7
1167867,https://www.kinopoisk.ru/film/1167867/, ,Стрельцов (2020),20.10.2020,6
842913,https://www.kinopoisk.ru/film/842913/,Colonia,Колония Дигнидад (2015),16.10.2020,8
586399,https://www.kinopoisk.ru/film/586399/,Trance,Транс (2013),02.10.2020,5
437678,https://www.kinopoisk.ru/film/437678/,Dredd,Судья Дредд (2012),26.09.2020,7
1183824,https://www.kinopoisk.ru/series/1183824/,Living with Yourself,"Ужиться с самим собой (сериал, 2019)",25.09.2020,6
889091,https://www.kinopoisk.ru/film/889091/,Nerve,Нерв (2016),21.09.2020,6
3447,https://www.kinopoisk.ru/film/3447/,Mission: Impossible II,Миссия: невыполнима 2 (2000),19.09.2020,5
3961,https://www.kinopoisk.ru/film/3961/,Mission: Impossible,Миссия: невыполнима (1996),19.09.2020,9
1312007,https://www.kinopoisk.ru/series/1312007/, ,"Чики (сериал, 2020)",15.09.2020,9
455194,https://www.kinopoisk.ru/film/455194/,Prisoners,Пленницы (2013),04.09.2020,9
1121377,https://www.kinopoisk.ru/film/1121377/,100 Dinge,100 вещей и ничего лишнего (2018),02.09.2020,7
1291338,https://www.kinopoisk.ru/series/1291338/, ,"Ничего смешного (мини-сериал, 2018 – ...)",01.09.2020,10
428711,https://www.kinopoisk.ru/film/428711/,The Hustle,Отпетые мошенницы (2019),29.08.2020,4
1009784,https://www.kinopoisk.ru/film/1009784/,Upgrade,Апгрейд (2018),29.08.2020,7
591535,https://www.kinopoisk.ru/film/591535/,Zeroville,Зеровилль (2019),22.08.2020,1
663191,https://www.kinopoisk.ru/film/663191/,Grown Ups 2,Одноклассники 2 (2013),19.08.2020,1
450345,https://www.kinopoisk.ru/film/450345/,Grown Ups,Одноклассники (2010),16.08.2020,8
841152,https://www.kinopoisk.ru/film/841152/,The Nice Guys,Славные парни (2016),11.08.2020,6
645118,https://www.kinopoisk.ru/film/645118/,Inside Out,Головоломка (2015),08.08.2020,8
1277987,https://www.kinopoisk.ru/series/1277987/,Normal People,"Нормальные люди (мини-сериал, 2020)",05.08.2020,3
1065805,https://www.kinopoisk.ru/film/1065805/,Escape Room,Клаустрофобы (2019),02.08.2020,6
1338525,https://www.kinopoisk.ru/film/1338525/,Welcome to Chechnya,Добро пожаловать в Чечню (2020),12.07.2020,9
490323,https://www.kinopoisk.ru/film/490323/,Just Go with It,Притворись моей женой (2011),04.07.2020,6
1990,https://www.kinopoisk.ru/film/1990/,Point Break,На гребне волны (1991),25.06.2020,7
276598,https://www.kinopoisk.ru/film/276598/,Drive,Драйв (2011),25.06.2020,4
1236319,https://www.kinopoisk.ru/film/1236319/,Venise n'est pas en Italie,Венеция зовет (2019),24.06.2020,5
939411,https://www.kinopoisk.ru/film/939411/,Papillon,Мотылёк (2017),09.06.2020,7
638053,https://www.kinopoisk.ru/film/638053/,Foxcatcher,Охотник на лис (2014),09.06.2020,6
1005878,https://www.kinopoisk.ru/film/1005878/,The Lion King,Король Лев (2019),06.06.2020,6
484628,https://www.kinopoisk.ru/film/484628/,What Happened to Monday,Тайна 7 сестер (2017),29.05.2020,5
1174226,https://www.kinopoisk.ru/film/1174226/,21 Bridges,21 мост (2019),22.05.2020,6
959365,https://www.kinopoisk.ru/film/959365/,Contratiempo,Невидимый гость (2016),15.05.2020,9
501333,https://www.kinopoisk.ru/film/501333/,The Big Short,Игра на понижение (2015),08.05.2020,6
1070927,https://www.kinopoisk.ru/film/1070927/,Den skyldige,Виновный (2017),01.05.2020,8
980347,https://www.kinopoisk.ru/film/980347/,Breathe,Дыши ради нас (2017),24.04.2020,7
1188529,https://www.kinopoisk.ru/film/1188529/,Knives Out,Достать ножи (2019),17.04.2020,10
1356380,https://www.kinopoisk.ru/film/1356380/, ,Съесть слона (2020),14.04.2020,8
489414,https://www.kinopoisk.ru/film/489414/,Zombieland: Double Tap,Zомбилэнд: Контрольный выстрел (2019),10.04.2020,8
1143242,https://www.kinopoisk.ru/film/1143242/,The Gentlemen,Джентльмены (2019),05.04.2020,10
1134778,https://www.kinopoisk.ru/film/1134778/,El hoyo,Платформа (2019),29.03.2020,9
1047883,https://www.kinopoisk.ru/film/1047883/,Once Upon a Time in...  Hollywood,Однажды в… Голливуде (2019),20.03.2020,5
905031,https://www.kinopoisk.ru/film/905031/, ,Собибор (2018),22.02.2020,4
929027,https://www.kinopoisk.ru/film/929027/,Kursk,Курск (2018),08.02.2020,6
1171976,https://www.kinopoisk.ru/film/1171976/,1917,1917 (2019),05.02.2020,10
1115630,https://www.kinopoisk.ru/series/1115630/,You,"Ты (сериал, 2018 – ...)",01.02.2020,6
1047626,https://www.kinopoisk.ru/film/1047626/,A Rainy Day in New York,Дождливый день в Нью-Йорке (2019),05.01.2020,9
1046033,https://www.kinopoisk.ru/film/1046033/, ,Сторож (2019),04.01.2020,6
607031,https://www.kinopoisk.ru/film/607031/,Let It Snow,Пусть идёт снег (2019),02.01.2020,5
1169469,https://www.kinopoisk.ru/series/1169469/,Unbelievable,"Невозможно поверить (мини-сериал, 2019)",28.12.2019,10
686898,https://www.kinopoisk.ru/film/686898/,It Chapter Two,Оно 2 (2019),22.12.2019,3
1093170,https://www.kinopoisk.ru/film/1093170/,BlacKkKlansman,Черный клановец (2018),07.12.2019,6
1162846,https://www.kinopoisk.ru/film/1162846/, ,Бабушка лёгкого поведения 2. Престарелые мстители (2019),02.12.2019,2
839650,https://www.kinopoisk.ru/film/839650/,Incredibles 2,Суперсемейка 2 (2018),16.11.2019,8
463354,https://www.kinopoisk.ru/film/463354/,Looper,Петля времени (2012),03.11.2019,6
736206,https://www.kinopoisk.ru/film/736206/,Locke,Лок (2013),20.10.2019,7
1199596,https://www.kinopoisk.ru/film/1199596/,Brightburn,"Гори, гори ясно (2019)",19.10.2019,4
496,https://www.kinopoisk.ru/film/496/,Minority Report,Особое мнение (2002),13.10.2019,9
837552,https://www.kinopoisk.ru/film/837552/,American Made,Сделано в Америке (2017),05.10.2019,6
1048334,https://www.kinopoisk.ru/film/1048334/,Joker,Джокер (2019),04.10.2019,5
1007049,https://www.kinopoisk.ru/film/1007049/,Aladdin,Аладдин (2019),21.09.2019,5
993591,https://www.kinopoisk.ru/film/993591/, ,Завод (2018),16.09.2019,7
922029,https://www.kinopoisk.ru/film/922029/,The Goldfinch,Щегол (2019),13.09.2019,10
1044906,https://www.kinopoisk.ru/film/1044906/,A Quiet Place,Тихое место (2018),25.08.2019,4
1108577,https://www.kinopoisk.ru/film/1108577/,Green Book,Зеленая книга (2018),24.08.2019,9
3908,https://www.kinopoisk.ru/film/3908/,Bad Boys,Плохие парни (1995),23.08.2019,6
908691,https://www.kinopoisk.ru/film/908691/,Shaft,Шафт (2019),23.08.2019,5
88173,https://www.kinopoisk.ru/film/88173/,Alita: Battle Angel,Алита: Боевой ангел (2019),11.08.2019,7
1044601,https://www.kinopoisk.ru/film/1044601/,Glass,Стекло (2019),09.08.2019,9
976520,https://www.kinopoisk.ru/film/976520/,Set It Up,Подстава (2018),03.08.2019,5
1163897,https://www.kinopoisk.ru/film/1163897/,Kidnapping Stella,Похищая Стеллу (2019),23.07.2019,5
1219425,https://www.kinopoisk.ru/film/1219425/,Secret Obsession,Тайная одержимость (2019),21.07.2019,4
1043758,https://www.kinopoisk.ru/film/1043758/,Gisaengchung,Паразиты (2019),16.07.2019,10
761933,https://www.kinopoisk.ru/film/761933/,I Origins,Я – начало (2014),12.07.2019,10
1227803,https://www.kinopoisk.ru/series/1227803/,Chernobyl,"Чернобыль (мини-сериал, 2019)",09.07.2019,10
1154641,https://www.kinopoisk.ru/film/1154641/,The Perfect Date,Идеальный бойфренд (2019),06.07.2019,6
505995,https://www.kinopoisk.ru/film/505995/,Murder Mystery,Убийство на яхте (2019),06.07.2019,5
843479,https://www.kinopoisk.ru/film/843479/,Fantastic Beasts: The Crimes of Grindelwald,Фантастические твари: Преступления Грин-де-Вальда (2018),31.05.2019,5
1224066,https://www.kinopoisk.ru/series/1224066/, ,"Толя-робот (сериал, 2019)",30.05.2019,9
299,https://www.kinopoisk.ru/film/299/,The Matrix Reloaded,Матрица: Перезагрузка (2003),26.05.2019,8
301,https://www.kinopoisk.ru/film/301/,The Matrix,Матрица (1999),06.05.2019,9
1009413,https://www.kinopoisk.ru/film/1009413/, ,Лето (2018),04.05.2019,10
842408,https://www.kinopoisk.ru/series/842408/, ,"Лондонград. Знай наших (сериал, 2015)",02.05.2019,7
1254103,https://www.kinopoisk.ru/film/1254103/, ,Homecoming: A Film by Beyoncé (2019),18.04.2019,9
463634,https://www.kinopoisk.ru/film/463634/,Venom,Веном (2018),13.04.2019,5
942396,https://www.kinopoisk.ru/film/942396/,The House That Jack Built,"Дом, который построил Джек (2018)",07.04.2019,7
1040690,https://www.kinopoisk.ru/film/1040690/,Mid90s,Середина 90-х (2018),17.03.2019,10
1142619,https://www.kinopoisk.ru/film/1142619/, ,Громкая связь (2018),13.03.2019,3
894027,https://www.kinopoisk.ru/film/894027/,The Fate of the Furious,Форсаж 8 (2017),10.03.2019,7
568289,https://www.kinopoisk.ru/film/568289/,Bohemian Rhapsody,Богемская рапсодия (2018),04.03.2019,7
623744,https://www.kinopoisk.ru/film/623744/,Side Effects,Побочный эффект (2013),24.02.2019,9
463803,https://www.kinopoisk.ru/film/463803/,First Man,Человек на Луне (2018),09.02.2019,5
596274,https://www.kinopoisk.ru/film/596274/,A Walk Among the Tombstones,Прогулка среди могил (2014),08.02.2019,3
4250,https://www.kinopoisk.ru/film/4250/,Four Rooms,Четыре комнаты (1995),31.01.2019,7
1224670,https://www.kinopoisk.ru/film/1224670/,Black Mirror: Bandersnatch,Черное зеркало. Бандерснэтч (2018),31.01.2019,8
1047143,https://www.kinopoisk.ru/film/1047143/,Bad Times at the El Royale,Ничего хорошего в отеле «Эль Рояль» (2018),27.01.2019,10
474935,https://www.kinopoisk.ru/film/474935/,A Star Is Born,Звезда родилась (2018),26.01.2019,5
1074393,https://www.kinopoisk.ru/film/1074393/,Kajaani,Каяани (2017),18.01.2019,8
1176661,https://www.kinopoisk.ru/film/1176661/,Voyeur,Наблюдатель (2017),18.01.2019,7
1119439,https://www.kinopoisk.ru/film/1119439/,Tiikeri,Тигр (2018),18.01.2019,4
1147293,https://www.kinopoisk.ru/film/1147293/,A Swedish Classic,Шведская классика (2017),18.01.2019,7
1124657,https://www.kinopoisk.ru/film/1124657/, ,Juck (2018),18.01.2019,2
1104535,https://www.kinopoisk.ru/film/1104535/,Fuck You,Пошел ты (2018),18.01.2019,6
841518,https://www.kinopoisk.ru/film/841518/,Teenage Mutant Ninja Turtles: Out of the Shadows,Черепашки-ниндзя 2 (2016),12.01.2019,5
918087,https://www.kinopoisk.ru/film/918087/,Swiss Army Man,Человек – швейцарский нож (2016),11.01.2019,4
885316,https://www.kinopoisk.ru/film/885316/, ,Время первых (2017),10.01.2019,4
981230,https://www.kinopoisk.ru/film/981230/, ,Тренер (2018),09.01.2019,6
1045777,https://www.kinopoisk.ru/film/1045777/, ,Непрощенный (2018),09.01.2019,3
1049775,https://www.kinopoisk.ru/film/1049775/, ,Подбросы (2018),06.01.2019,2
586584,https://www.kinopoisk.ru/film/586584/,Seven Psychopaths,Семь психопатов (2012),05.01.2019,6
975249,https://www.kinopoisk.ru/film/975249/,Daddy's Home 2,"Здравствуй, папа, Новый год! 2 (2017)",04.01.2019,7
484428,https://www.kinopoisk.ru/film/484428/,Daddy's Home,"Здравствуй, папа, Новый год! (2015)",31.12.2018,7
944098,https://www.kinopoisk.ru/film/944098/,"Three Billboards Outside Ebbing, Missouri","Три билборда на границе Эббинга, Миссури (2017)",09.12.2018,8
981105,https://www.kinopoisk.ru/film/981105/, ,Бабушка лёгкого поведения (2017),08.12.2018,4
970196,https://www.kinopoisk.ru/film/970196/,Searching,Поиск (2018),23.11.2018,7
842037,https://www.kinopoisk.ru/film/842037/, ,Я худею (2018),18.11.2018,4
582358,https://www.kinopoisk.ru/series/582358/,13 Reasons Why,"13 причин почему (сериал, 2017 – 2020)",28.10.2018,8
893681,https://www.kinopoisk.ru/film/893681/, ,Черновик (2018),21.10.2018,2
